Data ,,,,,,,,,
,,,,,,,,,
"Every combination are attributed 9 lines. Line 1 is 100% the indicated defect, the the fraction changes to 100% the defect in the 9th line trough the fractions 12.5%, 25%, 37.5%, 50%, 62.5%, 75%, and 87.5%",,,,,,,,,
,,,,,,,,,
Et range,0,1.125,eV,,,,,,
k range,0.001,1000,-,,,,,,
tau_p0 range,1E-13,0.001,s,,,,,,
,,,,,,,,,
points Et,point k,points tau_p0,,,,,,,
200,200,700,,,,,,,
,,,,,,,,,
,Defect 1,Defect 2,Max_Et,Min_Et,Max_k,Min_k,Min ARV,Et,k
109,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
110,CuI,PtII,0.932788945,0.870603015,0.340928507,0.085044893,5.138760969,0.910175879,0.128989026
111,CuI,PtII,0.921482412,0.146984925,50.52631065,0.182518349,5.191029233,0.887562814,0.340928507
112,CuI,PtII,0.910175879,0.163944724,25.2353917,0.318062569,4.263759311,0.881909548,0.517092024
113,CuI,PtII,0.898869347,0.870603015,0.901101825,0.450055768,2.893436693,0.881909548,0.636824994
114,PtII,CuI,0.89321608,0.870603015,0.965883224,0.636824994,2.190339834,0.881909548,0.731680714
115,PtII,CuI,0.89321608,0.870603015,1.109752496,0.731680714,1.360595647,0.881909548,0.840665289
116,PtII,CuI,0.887562814,0.870603015,1.189534067,0.784282206,1.03567249,0.876256281,1.035321843
117,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
118,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
119,CuI,Ti,0.842336683,0.209170854,11.75849554,2.933166278,8.270241072,0.226130653,7.232633896
120,CuI,Ti,0.853643216,0.831030151,9.547716114,4.448782831,6.223129872,0.836683417,6.29498899
121,CuI,Ti,0.853643216,0.836683417,14.48118228,7.232633896,4.140984577,0.842336683,8.907354639
122,CuI,Ti,0.84798995,0.836683417,17.83430877,8.907354639,2.696009401,0.842336683,10.23411402
123,Ti,CuI,0.84798995,0.836683417,23.54286414,10.23411402,1.908787443,0.842336683,12.6038293
124,Ti,CuI,0.84798995,0.836683417,23.54286414,12.6038293,0.981979544,0.842336683,14.48118228
125,Ti,CuI,0.84798995,0.836683417,38.27494479,14.48118228,0.787108969,0.842336683,21.96385372
126,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
127,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
128,CuI,Zn,0.876256281,0.836683417,0.340928507,0.120337784,1.260410306,0.859296482,0.182518349
129,CuI,Zn,0.859296482,0.333542714,0.554266452,0.069055135,2.010902653,0.842336683,0.296730241
130,CuI,Zn,0.853643216,0.327889447,0.682607183,0.001414991,2.401723031,0.333542714,0.195639834
131,CuI,Zn,0.842336683,0.327889447,0.594113398,0.001516717,2.068965143,0.333542714,0.240940356
132,Zn,CuI,0.836683417,0.327889447,0.682607183,0.001625756,2.258636006,0.327889447,0.340928507
133,Zn,CuI,0.831030151,0.327889447,0.636824994,0.042475716,1.880318808,0.327889447,0.365438307
134,Zn,CuI,0.333542714,0.327889447,0.636824994,0.195639834,1.566642188,0.327889447,0.365438307
135,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
136,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
137,CuII,DefectX,0.61620603,0.40138191,17.83430877,13.50993521,1.276898308,0.610552764,15.52225357
138,CuII,DefectX,0.621859296,0.40138191,15.52225357,11.75849554,1.639743992,0.610552764,13.50993521
139,CuII,DefectX,0.621859296,0.407035176,14.48118228,10.23411402,2.573500428,0.610552764,12.6038293
140,CuII,DefectX,0.627512563,0.407035176,12.6038293,8.907354639,3.503847106,0.61620603,10.96985798
141,DefectX,CuII,0.633165829,0.412688442,10.96985798,7.232633896,4.496244924,0.61620603,8.907354639
142,DefectX,CuII,0.638819095,0.418341709,8.309941949,5.111433483,5.864309042,0.621859296,6.29498899
143,DefectX,CuII,0.644472362,0.429648241,5.111433483,2.933166278,5.805356653,0.44660804,4.150404758
144,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
145,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
146,CuII,Mo,0.627512563,0.384422111,19.11644075,14.48118228,1.900098562,0.395728643,16.63816886
147,CuII,Mo,0.638819095,0.367462312,21.96385372,14.48118228,4.265404951,0.384422111,16.63816886
148,CuII,Mo,0.650125628,0.356155779,23.54286414,15.52225357,6.499840395,0.373115578,16.63816886
149,CuII,Mo,0.655778894,0.33919598,25.2353917,16.63816886,8.05688767,0.356155779,19.11644075
150,Mo,CuII,0.350502513,0.322236181,28.99422854,16.63816886,9.148507046,0.33919598,21.96385372
151,Mo,CuII,0.333542714,0.175251256,932.9304026,17.83430877,9.178236213,0.322236181,23.54286414
152,Mo,CuII,0.310929648,0.163944724,932.9304026,20.4907469,6.881171086,0.299623116,25.2353917
153,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
154,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
155,CuII,PtI,0.61620603,0.40138191,19.11644075,14.48118228,1.231054801,0.610552764,15.52225357
156,CuII,PtI,0.61620603,0.40138191,19.11644075,14.48118228,1.233606162,0.610552764,15.52225357
157,CuII,PtI,0.61620603,0.40138191,19.11644075,14.48118228,1.185315652,0.610552764,15.52225357
158,CuII,PtI,0.61620603,0.40138191,19.11644075,14.48118228,1.15465434,0.610552764,15.52225357
